TIME,PROCESSES,ROWS,COLS,GENERATIONS,SPEED_UP
403.73085,1,12800,12800,100,1.0
207.321821,2,12800,12800,100,1.9473630322782085
246.90051,3,12800,12800,100,1.635196500809172
187.47669,4,12800,12800,100,2.1534989229861057
152.828937,5,12800,12800,100,2.641717320850043
128.653557,6,12800,12800,100,3.1381242727707868
110.818058,7,12800,12800,100,3.6431864741755353
98.123951,8,12800,12800,100,4.114498508116535
88.776881,9,12800,12800,100,4.547702571348502
79.760523,10,12800,12800,100,5.061787897253381
73.264347,11,12800,12800,100,5.510604632837306
67.898599,12,12800,12800,100,5.946085132036376
63.099254,13,12800,12800,100,6.398345850491354
59.00129,14,12800,12800,100,6.842746150126548
55.379996,15,12800,12800,100,7.2901928342501146
52.695279,16,12800,12800,100,7.6616132917713555
49.997845,17,12800,12800,100,8.074965030992836
48.346549,18,12800,12800,100,8.350768738426396
45.460157,19,12800,12800,100,8.880982307210244
43.931762,20,12800,12800,100,9.189953501068315
42.050746,21,12800,12800,100,9.601038944707426
40.265633,22,12800,12800,100,10.026685784375971
38.769254,23,12800,12800,100,10.413686319576849
37.485268,24,12800,12800,100,10.770387182505939
